order_id,order_datum,product_id,product_naam,categorie,aantal,kanaal,prijs
O0074,2025-05-02,P027,Zit-sta bureau 27,Bureau,3,Amazon,680
O0075,2025-05-10,P009,Ergonomische stoel 9,Stoel,4,Bol,277
O0076,2025-06-25,P218,Vergadertafel 218,Tafel,3,Bol,954
O0077,2025-02-28,P253,Accessoire 253,Accessoire,5,Amazon,179
O0078,2025-03-10,P309,Ergonomische stoel 309,Stoel,4,Amazon,163
O0079,2025-04-29,P363,Accessoire 363,Accessoire,3,Bol,81
O0080,2025-02-28,P422,Zit-sta bureau 422,Bureau,2,Magento,443
O0081,2025-02-06,P417,Zit-sta bureau 417,Bureau,5,Amazon,596
O0082,2025-01-21,P241,Accessoire 241,Accessoire,4,Amazon,193
O0083,2025-05-08,P012,Vergadertafel 12,Tafel,5,Magento,513
O0084,2025-03-02,P327,Zit-sta bureau 327,Bureau,2,WooCommerce,721
O0085,2025-03-23,P201,Accessoire 201,Accessoire,2,Magento,55
O0086,2025-02-24,P094,Ergonomische stoel 94,Stoel,4,Bol,267
O0087,2025-02-14,P439,Vergadertafel 439,Tafel,2,Magento,1156
O0088,2025-04-26,P080,Accessoire 80,Accessoire,2,Bol,94
O0089,2025-02-02,P291,Vergadertafel 291,Tafel,4,Magento,954
O0090,2025-06-19,P279,Vergadertafel 279,Tafel,2,Bol,1149
O0091,2025-06-27,P439,Vergadertafel 439,Tafel,1,Bol,1156
O0092,2025-03-05,P363,Accessoire 363,Accessoire,4,Amazon,81
O0093,2025-05-03,P137,Ergonomische stoel 137,Stoel,5,Amazon,359
O0094,2025-05-02,P288,Ergonomische stoel 288,Stoel,2,WooCommerce,301
O0095,2025-03-16,P245,Accessoire 245,Accessoire,5,Amazon,87
O0096,2025-03-11,P417,Zit-sta bureau 417,Bureau,3,WooCommerce,596
O0097,2025-03-17,P226,Vergadertafel 226,Tafel,5,Bol,1043
O0098,2025-01-23,P084,Vergadertafel 84,Tafel,3,WooCommerce,920
O0099,2025-05-02,P268,Vergadertafel 268,Tafel,5,Amazon,1049
O0100,2025-02-15,P340,Zit-sta bureau 340,Bureau,2,Bol,403
O0101,2025-05-27,P031,Zit-sta bureau 31,Bureau,1,Magento,608
O0102,2025-02-26,P343,Accessoire 343,Accessoire,5,Bol,68
O0103,2025-05-18,P215,Vergadertafel 215,Tafel,2,WooCommerce,573
O0104,2025-02-22,P378,Vergadertafel 378,Tafel,1,Amazon,658
O0105,2025-02-18,P170,Zit-sta bureau 170,Bureau,5,Amazon,703
O0106,2025-04-14,P110,Accessoire 110,Accessoire,3,Amazon,51
O0107,2025-03-01,P350,Ergonomische stoel 350,Stoel,2,WooCommerce,158
O0108,2025-02-14,P344,Ergonomische stoel 344,Stoel,3,Amazon,307
O0109,2025-02-14,P346,Vergadertafel 346,Tafel,5,Bol,579
O0110,2025-03-30,P358,Zit-sta bureau 358,Bureau,3,WooCommerce,673
O0111,2025-01-13,P216,Vergadertafel 216,Tafel,2,Bol,1117
O0112,2025-02-20,P203,Accessoire 203,Accessoire,1,Bol,81
O0113,2025-01-02,P382,Ergonomische stoel 382,Stoel,4,Amazon,235
O0114,2025-02-07,P114,Vergadertafel 114,Tafel,5,Magento,548
O0115,2025-04-16,P263,Accessoire 263,Accessoire,1,Bol,33
O0116,2025-02-28,P377,Vergadertafel 377,Tafel,3,Amazon,519
O0117,2025-05-20,P263,Accessoire 263,Accessoire,5,Bol,33
O0118,2025-01-13,P310,Ergonomische stoel 310,Stoel,3,Amazon,236
O0119,2025-03-21,P099,Ergonomische stoel 99,Stoel,4,Magento,206
O0120,2025-01-12,P392,Vergadertafel 392,Tafel,5,Magento,706
O0121,2025-01-16,P306,Accessoire 306,Accessoire,3,Magento,129
O0122,2025-01-02,P340,Zit-sta bureau 340,Bureau,2,WooCommerce,403
O0123,2025-01-24,P341,Ergonomische stoel 341,Stoel,4,Bol,399
O0124,2025-03-06,P044,Vergadertafel 44,Tafel,4,Bol,725
O0125,2025-03-13,P193,Zit-sta bureau 193,Bureau,4,WooCommerce,409
O0126,2025-04-21,P063,Ergonomische stoel 63,Stoel,4,Magento,228
O0127,2025-04-14,P225,Ergonomische stoel 225,Stoel,5,WooCommerce,172
O0128,2025-06-11,P338,Vergadertafel 338,Tafel,2,WooCommerce,1120
O0129,2025-01-15,P449,Ergonomische stoel 449,Stoel,3,Magento,252
O0130,2025-01-22,P374,Zit-sta bureau 374,Bureau,4,Amazon,779
O0131,2025-03-12,P164,Ergonomische stoel 164,Stoel,3,Bol,301
O0132,2025-01-12,P222,Vergadertafel 222,Tafel,2,Magento,536
O0133,2025-02-22,P012,Vergadertafel 12,Tafel,3,Magento,513
O0134,2025-06-19,P132,Zit-sta bureau 132,Bureau,4,Magento,752
O0135,2025-05-14,P042,Vergadertafel 42,Tafel,2,Amazon,517
O0136,2025-03-05,P192,Zit-sta bureau 192,Bureau,4,Magento,642
O0137,2025-03-21,P358,Zit-sta bureau 358,Bureau,3,Bol,673
O0138,2025-03-10,P334,Vergadertafel 334,Tafel,1,WooCommerce,843
O0139,2025-02-17,P320,Zit-sta bureau 320,Bureau,3,Magento,687
O0140,2025-04-13,P318,Zit-sta bureau 318,Bureau,3,Magento,335
O0141,2025-05-04,P106,Accessoire 106,Accessoire,1,Magento,186
O0142,2025-03-29,P173,Ergonomische stoel 173,Stoel,2,WooCommerce,221
O0143,2025-05-20,P114,Vergadertafel 114,Tafel,2,WooCommerce,548
O0144,2025-03-07,P217,Accessoire 217,Accessoire,2,Bol,124
O0145,2025-01-10,P099,Ergonomische stoel 99,Stoel,5,Magento,206
O0146,2025-05-30,P174,Vergadertafel 174,Tafel,2,Amazon,953
O0147,2025-01-29,P122,Ergonomische stoel 122,Stoel,5,Amazon,200
O0148,2025-03-01,P098,Accessoire 98,Accessoire,3,Magento,91
O0149,2025-01-15,P017,Vergadertafel 17,Tafel,4,WooCommerce,582
O0150,2025-04-21,P036,Vergadertafel 36,Tafel,1,WooCommerce,1172
O0151,2025-05-28,P247,Zit-sta bureau 247,Bureau,3,Magento,329
O0152,2025-02-04,P012,Vergadertafel 12,Tafel,5,Amazon,513
O0153,2025-05-02,P153,Accessoire 153,Accessoire,5,Bol,199
O0154,2025-02-10,P126,Vergadertafel 126,Tafel,4,Magento,797
O0155,2025-04-07,P085,Vergadertafel 85,Tafel,1,Bol,755
O0156,2025-03-10,P415,Accessoire 415,Accessoire,5,WooCommerce,100
O0157,2025-04-11,P418,Ergonomische stoel 418,Stoel,3,Bol,334
O0158,2025-01-28,P009,Ergonomische stoel 9,Stoel,1,Bol,277
O0159,2025-04-27,P198,Ergonomische stoel 198,Stoel,4,Amazon,156
O0160,2025-02-26,P212,Ergonomische stoel 212,Stoel,1,Magento,358
O0161,2025-03-16,P033,Ergonomische stoel 33,Stoel,5,Bol,276
O0162,2025-06-25,P272,Zit-sta bureau 272,Bureau,3,Amazon,514
O0163,2025-05-27,P332,Ergonomische stoel 332,Stoel,2,Amazon,261
O0164,2025-05-05,P419,Ergonomische stoel 419,Stoel,3,Magento,352
O0165,2025-06-11,P292,Ergonomische stoel 292,Stoel,5,Bol,180
O0166,2025-03-04,P294,Vergadertafel 294,Tafel,1,Magento,1072
O0167,2025-04-07,P376,Zit-sta bureau 376,Bureau,3,Magento,566
O0168,2025-06-17,P429,Ergonomische stoel 429,Stoel,1,Amazon,241
O0169,2025-06-04,P171,Accessoire 171,Accessoire,5,WooCommerce,131
O0170,2025-04-30,P142,Accessoire 142,Accessoire,4,Magento,116
O0171,2025-01-27,P352,Ergonomische stoel 352,Stoel,5,Magento,198
O0172,2025-02-27,P274,Ergonomische stoel 274,Stoel,1,WooCommerce,185
O0173,2025-06-15,P241,Accessoire 241,Accessoire,2,WooCommerce,193
O0174,2025-06-06,P138,Accessoire 138,Accessoire,4,Bol,180
O0175,2025-03-13,P347,Accessoire 347,Accessoire,3,Bol,115
O0176,2025-01-16,P321,Accessoire 321,Accessoire,1,Bol,112
O0177,2025-04-10,P406,Zit-sta bureau 406,Bureau,4,Bol,733
O0178,2025-06-26,P157,Accessoire 157,Accessoire,5,Amazon,159
O0179,2025-06-19,P390,Accessoire 390,Accessoire,3,Magento,46
O0180,2025-01-29,P385,Ergonomische stoel 385,Stoel,3,WooCommerce,246
O0181,2025-05-02,P356,Vergadertafel 356,Tafel,5,Amazon,617
O0182,2025-04-14,P376,Zit-sta bureau 376,Bureau,2,Magento,566
O0183,2025-06-17,P207,Zit-sta bureau 207,Bureau,5,Bol,514
O0184,2025-05-09,P052,Accessoire 52,Accessoire,2,Amazon,157
O0185,2025-06-09,P364,Accessoire 364,Accessoire,1,Amazon,92
O0186,2025-03-07,P140,Ergonomische stoel 140,Stoel,4,Amazon,250
O0187,2025-05-05,P378,Vergadertafel 378,Tafel,4,WooCommerce,658
O0188,2025-04-19,P147,Vergadertafel 147,Tafel,5,WooCommerce,1196
O0189,2025-05-11,P260,Accessoire 260,Accessoire,5,Bol,135
O0190,2025-03-09,P222,Vergadertafel 222,Tafel,4,Bol,536
O0191,2025-03-17,P257,Accessoire 257,Accessoire,5,Bol,48
O0192,2025-06-21,P158,Accessoire 158,Accessoire,5,WooCommerce,175
O0193,2025-04-29,P166,Vergadertafel 166,Tafel,5,Bol,1106
O0194,2025-03-04,P372,Vergadertafel 372,Tafel,5,Amazon,977
O0195,2025-06-22,P263,Accessoire 263,Accessoire,2,WooCommerce,33
O0196,2025-02-01,P008,Vergadertafel 8,Tafel,4,Amazon,839
O0197,2025-05-10,P120,Zit-sta bureau 120,Bureau,4,WooCommerce,737
O0198,2025-01-09,P191,Vergadertafel 191,Tafel,4,Bol,726
O0199,2025-02-26,P111,Zit-sta bureau 111,Bureau,2,Bol,701
O0200,2025-05-13,P384,Accessoire 384,Accessoire,5,Bol,79
O0201,2025-06-03,P177,Accessoire 177,Accessoire,3,Bol,103
O0202,2025-04-05,P209,Zit-sta bureau 209,Bureau,2,Bol,666
O0203,2025-02-12,P039,Vergadertafel 39,Tafel,3,Magento,986
O0204,2025-04-24,P369,Accessoire 369,Accessoire,5,Amazon,117
O0205,2025-02-10,P443,Ergonomische stoel 443,Stoel,5,Amazon,208
O0206,2025-02-28,P190,Ergonomische stoel 190,Stoel,3,Amazon,352
O0207,2025-03-31,P352,Ergonomische stoel 352,Stoel,4,Magento,198
O0208,2025-04-30,P224,Accessoire 224,Accessoire,3,WooCommerce,60
O0209,2025-01-20,P019,Zit-sta bureau 19,Bureau,4,Magento,793
O0210,2025-02-07,P290,Ergonomische stoel 290,Stoel,2,WooCommerce,191
O0211,2025-03-06,P414,Vergadertafel 414,Tafel,5,Bol,913
O0212,2025-02-27,P129,Zit-sta bureau 129,Bureau,1,Bol,778
O0213,2025-01-15,P133,Zit-sta bureau 133,Bureau,3,Magento,707
O0214,2025-01-03,P284,Vergadertafel 284,Tafel,2,Magento,607
O0215,2025-06-18,P101,Vergadertafel 101,Tafel,1,Magento,507
O0216,2025-01-17,P358,Zit-sta bureau 358,Bureau,3,WooCommerce,673
O0217,2025-02-17,P246,Zit-sta bureau 246,Bureau,2,Amazon,583
O0218,2025-05-29,P227,Zit-sta bureau 227,Bureau,2,WooCommerce,622
O0219,2025-06-10,P219,Ergonomische stoel 219,Stoel,1,Amazon,268
O0220,2025-03-25,P434,Zit-sta bureau 434,Bureau,1,Amazon,587
O0221,2025-06-27,P163,Ergonomische stoel 163,Stoel,4,Bol,389
O0222,2025-03-24,P048,Zit-sta bureau 48,Bureau,2,WooCommerce,763
O0223,2025-02-07,P424,Ergonomische stoel 424,Stoel,4,Bol,207
O0224,2025-05-28,P128,Zit-sta bureau 128,Bureau,1,Magento,591
O0225,2025-01-30,P149,Accessoire 149,Accessoire,4,WooCommerce,100
O0226,2025-02-23,P112,Accessoire 112,Accessoire,1,Bol,158
O0227,2025-02-26,P054,Vergadertafel 54,Tafel,1,Amazon,609
O0228,2025-06-02,P431,Vergadertafel 431,Tafel,2,Magento,793
O0229,2025-01-23,P369,Accessoire 369,Accessoire,2,Amazon,117
O0230,2025-04-01,P302,Ergonomische stoel 302,Stoel,2,Magento,353
O0231,2025-02-19,P359,Ergonomische stoel 359,Stoel,1,Amazon,341
O0232,2025-06-03,P251,Accessoire 251,Accessoire,2,Magento,77
O0233,2025-01-30,P119,Zit-sta bureau 119,Bureau,1,WooCommerce,600
O0234,2025-05-31,P300,Zit-sta bureau 300,Bureau,5,WooCommerce,618
O0235,2025-06-19,P209,Zit-sta bureau 209,Bureau,2,Bol,666
O0236,2025-05-15,P345,Accessoire 345,Accessoire,4,WooCommerce,89
O0237,2025-05-17,P061,Accessoire 61,Accessoire,3,WooCommerce,66
O0238,2025-02-05,P345,Accessoire 345,Accessoire,1,Amazon,89
O0239,2025-01-01,P049,Accessoire 49,Accessoire,4,Bol,154
O0240,2025-05-19,P303,Ergonomische stoel 303,Stoel,4,Bol,314
O0241,2025-05-28,P129,Zit-sta bureau 129,Bureau,3,Amazon,778
O0242,2025-03-26,P302,Ergonomische stoel 302,Stoel,5,Bol,353
O0243,2025-04-23,P202,Accessoire 202,Accessoire,4,Amazon,50
O0244,2025-01-26,P216,Vergadertafel 216,Tafel,5,WooCommerce,1117
O0245,2025-04-29,P353,Zit-sta bureau 353,Bureau,4,Magento,511
O0246,2025-06-06,P016,Zit-sta bureau 16,Bureau,3,WooCommerce,794
O0247,2025-03-02,P169,Zit-sta bureau 169,Bureau,1,Amazon,628
O0248,2025-05-09,P348,Ergonomische stoel 348,Stoel,4,Amazon,188
O0249,2025-01-26,P184,Vergadertafel 184,Tafel,3,WooCommerce,1138
O0250,2025-06-21,P012,Vergadertafel 12,Tafel,3,Magento,513
O0251,2025-03-24,P262,Vergadertafel 262,Tafel,5,WooCommerce,1060
O0252,2025-01-07,P201,Accessoire 201,Accessoire,4,Magento,55
O0253,2025-02-08,P114,Vergadertafel 114,Tafel,5,Magento,548
O0254,2025-02-16,P043,Accessoire 43,Accessoire,4,Magento,66
O0255,2025-06-23,P310,Ergonomische stoel 310,Stoel,4,Bol,236
O0256,2025-01-30,P264,Ergonomische stoel 264,Stoel,1,Amazon,165
O0257,2025-05-17,P240,Ergonomische stoel 240,Stoel,4,Amazon,224
O0258,2025-06-12,P113,Ergonomische stoel 113,Stoel,2,WooCommerce,305
O0259,2025-06-27,P002,Vergadertafel 2,Tafel,3,Magento,956
O0260,2025-02-06,P312,Zit-sta bureau 312,Bureau,1,WooCommerce,799
O0261,2025-03-24,P135,Zit-sta bureau 135,Bureau,2,Amazon,467
O0262,2025-03-29,P187,Accessoire 187,Accessoire,3,Bol,109
O0263,2025-06-28,P063,Ergonomische stoel 63,Stoel,5,Magento,228
O0264,2025-04-23,P164,Ergonomische stoel 164,Stoel,5,Amazon,301
O0265,2025-05-26,P086,Zit-sta bureau 86,Bureau,3,Bol,436
O0266,2025-06-26,P290,Ergonomische stoel 290,Stoel,4,Amazon,191
O0267,2025-01-06,P335,Ergonomische stoel 335,Stoel,3,Amazon,368
O0268,2025-01-24,P205,Accessoire 205,Accessoire,3,Amazon,63
O0269,2025-05-21,P361,Ergonomische stoel 361,Stoel,2,WooCommerce,220
O0270,2025-06-25,P386,Vergadertafel 386,Tafel,5,WooCommerce,974
O0271,2025-01-29,P203,Accessoire 203,Accessoire,4,WooCommerce,81
O0272,2025-04-20,P374,Zit-sta bureau 374,Bureau,5,Magento,779
O0273,2025-01-13,P028,Vergadertafel 28,Tafel,4,Amazon,603
O0274,2025-06-11,P175,Ergonomische stoel 175,Stoel,1,WooCommerce,376
O0275,2025-02-11,P227,Zit-sta bureau 227,Bureau,1,Magento,622
O0276,2025-03-16,P376,Zit-sta bureau 376,Bureau,3,Amazon,566
O0277,2025-01-09,P162,Vergadertafel 162,Tafel,3,Bol,663
O0278,2025-04-25,P041,Ergonomische stoel 41,Stoel,5,Magento,334
O0279,2025-03-10,P433,Zit-sta bureau 433,Bureau,2,Amazon,661
O0280,2025-05-28,P117,Vergadertafel 117,Tafel,3,Bol,1128
O0281,2025-03-10,P287,Vergadertafel 287,Tafel,2,Amazon,1032
O0282,2025-03-19,P344,Ergonomische stoel 344,Stoel,2,Amazon,307
O0283,2025-05-25,P022,Vergadertafel 22,Tafel,3,Magento,640
O0284,2025-03-03,P403,Ergonomische stoel 403,Stoel,5,WooCommerce,326
O0285,2025-03-29,P443,Ergonomische stoel 443,Stoel,2,WooCommerce,208
O0286,2025-03-11,P317,Vergadertafel 317,Tafel,5,Magento,1030
O0287,2025-03-23,P196,Accessoire 196,Accessoire,4,Magento,50
O0288,2025-01-01,P418,Ergonomische stoel 418,Stoel,2,Magento,334
O0289,2025-01-15,P292,Ergonomische stoel 292,Stoel,5,WooCommerce,180
O0290,2025-05-10,P325,Ergonomische stoel 325,Stoel,4,WooCommerce,370
O0291,2025-01-24,P026,Zit-sta bureau 26,Bureau,2,Bol,518
O0292,2025-06-25,P272,Zit-sta bureau 272,Bureau,5,Magento,514
O0293,2025-05-06,P366,Vergadertafel 366,Tafel,4,Amazon,552
O0294,2025-02-24,P215,Vergadertafel 215,Tafel,5,Magento,573
O0295,2025-02-20,P054,Vergadertafel 54,Tafel,5,Amazon,609
O0296,2025-05-13,P011,Zit-sta bureau 11,Bureau,2,WooCommerce,778
O0297,2025-04-29,P298,Vergadertafel 298,Tafel,2,WooCommerce,704
O0298,2025-02-22,P441,Zit-sta bureau 441,Bureau,5,Bol,642
O0299,2025-03-13,P389,Accessoire 389,Accessoire,3,Magento,55
O0300,2025-01-14,P008,Vergadertafel 8,Tafel,4,Magento,839
O0301,2025-03-12,P195,Accessoire 195,Accessoire,3,Magento,166
O0302,2025-02-13,P040,Vergadertafel 40,Tafel,3,Magento,1108
O0303,2025-03-31,P385,Ergonomische stoel 385,Stoel,2,WooCommerce,246
O0304,2025-02-16,P057,Ergonomische stoel 57,Stoel,5,Bol,211
O0305,2025-01-08,P108,Ergonomische stoel 108,Stoel,4,Magento,362
O0306,2025-02-23,P095,Vergadertafel 95,Tafel,2,Bol,615
O0307,2025-02-08,P146,Accessoire 146,Accessoire,1,Amazon,60
O0308,2025-05-09,P087,Accessoire 87,Accessoire,3,Amazon,30
O0309,2025-06-01,P395,Vergadertafel 395,Tafel,3,Amazon,1057
O0310,2025-03-02,P303,Ergonomische stoel 303,Stoel,2,WooCommerce,314
O0311,2025-04-19,P174,Vergadertafel 174,Tafel,1,Magento,953
O0312,2025-02-08,P403,Ergonomische stoel 403,Stoel,5,Amazon,326
O0313,2025-05-15,P357,Ergonomische stoel 357,Stoel,5,Magento,174
O0314,2025-05-05,P072,Zit-sta bureau 72,Bureau,4,Amazon,399
O0315,2025-03-05,P376,Zit-sta bureau 376,Bureau,4,Amazon,566
O0316,2025-02-21,P220,Ergonomische stoel 220,Stoel,2,Bol,155
O0317,2025-05-16,P105,Ergonomische stoel 105,Stoel,5,WooCommerce,239
O0318,2025-06-07,P092,Vergadertafel 92,Tafel,5,WooCommerce,878
O0319,2025-01-11,P400,Zit-sta bureau 400,Bureau,5,Amazon,667
O0320,2025-02-24,P201,Accessoire 201,Accessoire,1,WooCommerce,55
O0321,2025-06-18,P097,Zit-sta bureau 97,Bureau,2,Magento,330
O0322,2025-06-30,P180,Accessoire 180,Accessoire,2,Bol,185
O0323,2025-02-02,P443,Ergonomische stoel 443,Stoel,5,Amazon,208
O0324,2025-04-08,P142,Accessoire 142,Accessoire,1,Bol,116
O0325,2025-01-30,P078,Zit-sta bureau 78,Bureau,5,Magento,401
O0326,2025-03-13,P085,Vergadertafel 85,Tafel,2,Bol,755
O0327,2025-05-12,P205,Accessoire 205,Accessoire,2,Bol,63
O0328,2025-05-13,P278,Ergonomische stoel 278,Stoel,5,Magento,288
O0329,2025-02-13,P297,Vergadertafel 297,Tafel,2,Amazon,954
O0330,2025-05-13,P429,Ergonomische stoel 429,Stoel,5,Amazon,241
O0331,2025-03-13,P431,Vergadertafel 431,Tafel,5,Bol,793
O0332,2025-04-26,P199,Ergonomische stoel 199,Stoel,5,Bol,279
O0333,2025-05-13,P091,Zit-sta bureau 91,Bureau,1,Bol,738
O0334,2025-03-11,P264,Ergonomische stoel 264,Stoel,4,WooCommerce,165
O0335,2025-05-02,P355,Vergadertafel 355,Tafel,4,Magento,832
O0336,2025-02-17,P270,Accessoire 270,Accessoire,4,WooCommerce,89
O0337,2025-05-11,P127,Ergonomische stoel 127,Stoel,3,WooCommerce,380
O0338,2025-03-30,P297,Vergadertafel 297,Tafel,4,WooCommerce,954
O0339,2025-06-17,P360,Vergadertafel 360,Tafel,2,Amazon,759
O0340,2025-02-26,P436,Vergadertafel 436,Tafel,4,Bol,1033
O0341,2025-05-23,P112,Accessoire 112,Accessoire,5,WooCommerce,158
O0342,2025-06-08,P383,Accessoire 383,Accessoire,3,WooCommerce,80
O0343,2025-06-20,P079,Accessoire 79,Accessoire,5,Magento,166
O0344,2025-02-26,P316,Zit-sta bureau 316,Bureau,4,Amazon,442
O0345,2025-05-20,P247,Zit-sta bureau 247,Bureau,4,Amazon,329
O0346,2025-02-28,P217,Accessoire 217,Accessoire,1,Amazon,124
O0347,2025-04-15,P229,Accessoire 229,Accessoire,5,Magento,104
O0348,2025-04-19,P119,Zit-sta bureau 119,Bureau,1,Bol,600
O0349,2025-04-24,P380,Zit-sta bureau 380,Bureau,1,Magento,327
O0350,2025-03-26,P001,Accessoire 1,Accessoire,2,WooCommerce,92
O0351,2025-05-14,P432,Ergonomische stoel 432,Stoel,5,Magento,336
O0352,2025-05-06,P353,Zit-sta bureau 353,Bureau,1,WooCommerce,511
O0353,2025-05-28,P093,Zit-sta bureau 93,Bureau,2,Amazon,712
O0354,2025-01-31,P251,Accessoire 251,Accessoire,3,Amazon,77
O0355,2025-02-11,P280,Ergonomische stoel 280,Stoel,1,Magento,211
O0356,2025-04-14,P327,Zit-sta bureau 327,Bureau,3,Magento,721
O0357,2025-05-17,P276,Accessoire 276,Accessoire,2,WooCommerce,57
O0358,2025-02-06,P072,Zit-sta bureau 72,Bureau,5,Bol,399
